,评论,评价对象,程度副词,否定词,情感词
0,面料嘛也挺舒服的 就是万恶的发货员发错货了,面料,挺,0,舒服
1,衣服手感很好,衣服手感,很,0,好
2,尺码标准穿上很合身,尺码,很,0,标准
3,质量挺好了,质量,挺,0,好
4,短袖样式不错,短袖样式,0,0,不错
5,短袖触感比较好,短袖触感,比较,0,好
6,颜色特喜欢,颜色,0,0,喜欢
7,厚薄度：刚刚好,厚薄度,0,0,好
8,上身很有型,上身,很,0,有型
9,衣服做工精细,衣服做工,0,0,精细
10,穿着还合适,尺码,还,0,合适
11,衣服不错⚾,衣服,0,0,不错
12,尺寸也很合适相当的不错,尺寸,很,0,合适
13,短袖面料柔软,短袖面料,0,0,柔软
14,大小也非常的合适,大小,非常,0,合适
15,面料材质柔软,面料材质,0,0,柔软
16,车工非常精致,车工,非常,0,精致
17,衣型比较修身,衣型,比较,0,修身
18,真真是价廉物美的衣衣,衣衣,0,0,物美价廉
19,优良的品质,品质,0,0,优良
20,料子好像是纯棉的,料子,0,0,纯棉
21,质量信得过,质量,0,0,信得过
22,质量真的没得说,质量,0,0,没得说
23,这价格能买到这样的衣服也不错,价格,0,0,不错
24,颜色款式都喜欢,颜色款式,0,0,喜欢
25,衣服上身效果很帅气,衣服上身效果,很,0,帅气
26,纯棉面料穿着舒服,纯棉面料,0,0,舒服
27,面料摸起来也不是那种硬邦邦的,面料,0,不是,硬邦邦
28,款式也挺喜欢,款式,挺,0,喜欢
29,性价比比较高,性价比,比较,0,高
30,速干面料而且微弹,速干面料,微,0,弹
31,t恤款式很漂亮,t恤款式,很,0,漂亮
32,款式不错我喜欢的,款式,0,0,不错
33,款式新颖给力,款式,0,0,新颖给力
34,面料也还不错,面料,还,0,不错
35,衣服穿着合适,衣服,0,0,合适
36,袖质量不错,质量,0,0,不错
37,颜色也好看的,颜色,0,0,好看
38,款式很喜欢,款式,很,0,喜欢
39,但收到货后质量居然还不错,质量,还,0,不错
40,面料摸着很舒服,面料,很,0,舒服
41,尺码推荐：尺寸刚好,尺寸,0,0,刚好
42,穿起来很板正 厚薄度：厚度刚好,厚度,0,0,刚好
43,面料手感舒适[惊讶],面料手感,0,0,舒适
44,穿上之后还不错挺舒服的,衣服,挺,0,不错
45,舒适 厚薄度：好[强],厚薄度,0,0,好
46,质量摸起来很舒服,质量,很,0,舒服
47,整体体验：衬衫布料可以,衬衫布料,0,0,可以
48,品质质量：非常不错的一款衣服,品质质量,非常,0,不错
49,价格有点小贵,价格,有点,0,小贵
50,但是质量很好对得起这个价格,质量,很,0,好
51,衣服的面料有弹性,衣服的面料,0,0,有弹性
52,透气性也不错很舒服,透气性,很,0,不错
53,图案也很清晰,图案,很,0,清晰
54,衣服质量还可以呦,衣服质量,还,0,可以
55,上身效果也棒棒哒,上身效果,0,0,棒棒哒
56,走线也很整齐,走线,很,0,整齐
57,材质摸起来不错,材质,0,0,不错
58, 做工也是不错的,做工,0,0,不错
59,价格真的是很划算的,价格,很,0,划算
60,版型规范的,版型,0,0,规范
61,T恤简直是百搭款呢,T恤,0,0,百搭
62,体恤面料舒适,T恤面料,0,0,舒适
63,衣服一般吧的,衣服,0,0,一般
64,[玫瑰]版型上档次,版型,0,0,上档次
65,耐穿的面料,面料,0,0,耐穿
66,质量都不错,质量,0,0,不错
67,面料还可以的,面料,还,0,可以
68,t恤面料很好,t恤面料,很,0,好
69,款式很时尚,款式,很,0,时尚
70,质量摸起来也很舒服,质量,很,0,舒服
71,[强]细节做的不错,细节,0,0,不错
72,弹性都非常好[玫瑰],弹性,非常,0,好
73,上身效果：修身,上身效果,0,0,修身
74,穿上舒服细节处理的很完美,细节处理,很,0,完美
75,这家衣服性价比超高,衣服性价比,超,0,高
76,价格非常☀实惠,价格,非常,0,实惠
