,评论,评论号,评价对象,情感词
0,面料嘛也挺舒服的 就是万恶的发货员发错货了,0,面料,舒服
1,衣服手感很好,0,衣服手感,好
2,尺码标准穿上很合身,0,尺码,标准
3,短袖样式不错,1,短袖样式,不错
4,颜色特喜欢,0,颜色,喜欢
5,厚薄度：刚刚好,0,厚薄度,好
6,上身很有型,0,上身,有型
7,衣服做工精细,0,衣服做工,精细
8,衣服不错⚾,1,衣服,不错
9,尺寸也很合适相当的不错,1,尺寸,合适
10,短袖面料柔软,1,短袖面料,柔软
11,衣型比较修身,0,衣型,修身
12,优良的品质,1,品质,优良
13,料子好像是纯棉的,1,料子,纯棉
14,质量真的没得说,0,质量,没得说
15,这价格能买到这样的衣服也不错,0,价格,不错
16,衣服上身效果很帅气,1,衣服上身效果,帅气
17,纯棉面料穿着舒服,1,纯棉面料,舒服
18,面料摸起来也不是那种硬邦邦的,1,面料,硬邦邦
19,性价比比较高,0,性价比,高
20,t恤款式很漂亮,1,t恤款式,漂亮
21,款式新颖给力,0,款式,新颖给力
22,面料也还不错,0,面料,不错
23,衣服穿着合适,0,衣服,合适
24,款式很喜欢,0,款式,喜欢
25,但收到货后质量居然还不错,0,质量,不错
26,面料摸着很舒服,0,面料,舒服
27,穿起来很板正 厚薄度：厚度刚好,1,厚度,刚好
28,舒适 厚薄度：好[强],1,厚薄度,好
29,品质质量：非常不错的一款衣服,1,品质质量,不错
30,价格有点小贵,1,价格,小贵
31,但是质量很好对得起这个价格,1,质量,好
32,衣服质量还可以呦,0,衣服质量,可以
33,上身效果也棒棒哒,0,上身效果,棒棒哒
34,走线也很整齐,0,走线,整齐
35, 做工也是不错的,1,做工,不错
36,价格真的是很划算的,1,价格,划算
37,衣服一般吧的,0,衣服,一般
38,[玫瑰]版型上档次,0,版型,上档次
39,耐穿的面料,0,面料,耐穿
40,面料还可以的,1,面料,可以
41,款式很时尚,0,款式,时尚
42,质量摸起来也很舒服,0,质量,舒服
43,[强]细节做的不错,0,细节,不错
44,弹性都非常好[玫瑰],0,弹性,好
45,穿上舒服细节处理的很完美,1,细节处理,完美
46,这家衣服性价比超高,1,衣服性价比,高
47,价格非常☀实惠,1,价格,实惠
48,质量各方面都不错,1,质量,不错
49,纯棉的穿着舒服,0,纯棉,舒服
50,版型非常好看又简单,0,版型,好看
51,黑色就差太多了,1,黑色,差
52,衣服挺薄的,1,衣服,薄
53,🌟针脚细密,0,针脚,细密
54,衣服属于宽松的,1,衣服,宽松
55,款式百搭[激动],1,款式,百搭
56,面料品质：面料可以[强],1,面料,可以
57,面料品质：挺柔软的,1,面料,柔软
58,颜色也不好,1,颜色,好
59,面料不粘毛,1,面料,粘毛
60,款式做工都非常好,0,款式做工,好
61,穿上尺码大小合适,0,尺码大小,合适
62,上身效果超级好看,0,上身效果,好看
63,不错推荐下质量很不错,0,质量,不错
64,穿上面料很舒服,0,面料,舒服
65,T恤穿着很舒服,0,T恤,舒服
66,面料透气性很好,0,面料透气性,好
67,面料做工精细,0,面料做工,精细
68,号码尺寸也正好,1,号码尺寸,正好
69,针脚非常均匀,1,针脚,均匀
70,做工很好的嘻嘻,1,做工,好
71,版型属于宽松的,0,版型,宽松
72,图案设计也挺有风格的,0,图案设计,有风格
73,面料透气性好穿着好,0,面料透气性,好
74,料子摸起来很舒服,0,料子,舒服
75,半袖面料舒服,0,半袖面料,舒服
76,这个价钱又很划算,0,价钱,划算
77,尺码标准很合适 物有所值,1,尺码,合适
78,衣服冰冰凉凉的很舒服,0,衣服,舒服
79,这件T恤款式好看,0,T恤款式,好看
80,面料也舒服透气,1,面料,舒服透气
81,这个尺码刚好合适,1,尺码,合适
82, 材质特性：有弹性,0,材质,有弹性
83,手感也很好,1,手感,好
84, 面料品质：柔软舒适的面料,1,面料,柔软舒适
85,可以的整体不错,0,整体,不错
86,我试了下大小合适,0,大小,合适
87,非常不错的一款衣服,1,衣服,不错
88,衣服洗过后不起球,0,衣服,起球
89,衣服质量太差了,0,衣服质量,差
90,衣服版型都不错,0,衣服版型,不错
91,🌹质量和做工也不错,0,质量和做工,不错
92,版型规范挺不错的,0,版型,规范
93,摸上去的面料也是十分舒适🌹,0,面料,舒适
94,穿在身上合适做工精细,0,做工,精细
95,🌴面料质感超级柔软,0,面料质感,柔软
96,细节做的不错,0,细节,不错
97,浅色干净利落,0,浅色,干净利落
98,颜色也挺正的,1,颜色,正
99,衣服码数合适,1,衣服码数,合适
100,料子摸上去非常舒服,1,料子,舒服
101,👉包装也很精美,1,线头,精美
102,手感觉还不错,0,手感,不错
103,料子手感不错,0,料子手感,不错
104,码数按平时穿的买刚合适,0,码数,合适
105,这个颜色很好搭配裤子的,1,颜色,好搭配
106,商品外观挺好看的,1,商品外观,好看
107,质量也还好&hellip;&hellip;,0,质量,好
108,最主要的是价格实惠,0,价格,实惠
109,质量很好,0,质量,好
110,真没有想到这个价位能买到这么好质量的,0,质量,好
111,这个价买到的真是相当不错了,0,衣服,不错
112, 整体评价：手感好,1,手感,好
113,面料品质：面料舒适,1,面料,舒适
114,衣服质量真的不错,1,衣服质量,不错
115,做工比较精致,0,做工,精致
116,衣服料子蛮可以,0,衣服料子,可以
117,适合这个季节穿性价比高,1,性价比,高
118,摸上去很柔软,1,面料,柔软
119, 面料很上档次,1,面料,上档次
120,宝贝穿上很大气,1,宝贝,大气
121,码也很合适呢,0,尺码,合适
122,穿着舒服 ,0,面料,舒服
123,料子特别好,1,料子,好
124,t恤质量非常好,1,t恤质量,好
125,款式还挺好看的,0,款式,好看
126,是我喜欢的类型,0,类型,喜欢
127,超值衣服质量很好,0,衣服质量,好
128,后来想想还是黄色亮肤色,1,黄色,亮肤色
129,摸起来很舒服很柔软,1,面料,舒服
130,非常不错的衬衣,0,衬衣,不错
131,🎈性价比超高,0,性价比,高
132,柔软有弹性,0,面料,柔软有弹性
133,白色也不透,0,白色,透
134,没有难闻的异味📫,1,异味,难闻
135,包装也很正规,1,包装,正规
136,衣服很板正,1,衣服,板正
137,面料是那种柔软有弹性的很赞,0,面料,柔软有弹性
138,衣服面料舒适,0,衣服面料,舒适
139,很高大上的一款T恤,0,T恤,高大上
140,关键是价格也不贵,0,价格,贵
141,穿起来很舒服&hellip;&hellip;,0,面料,舒服
142,T恤材质还可以的,0,T恤材质,可以
143,短袖是棉的,0,棉,不错
144,东西是很好的,1,东西,好
145,这衣服真是物美价廉,1,衣服,物美价廉
146,面料贴肤舒服,0,面料,舒服
147,上身效果时尚休闲,0,上身效果,时尚休闲
148,感觉质量还不错,0,质量,不错
149,穿175刚合适,1,尺码,合适
150,价格非常便宜,1,价格,便宜
151,价格比外面实惠,0,价格,实惠
152,上身效果：尺码准确,0,尺码,准确
153,上身非常舒服,0,上身,舒服
154,衣服特别的合身,0,衣服,合身
155,款式都挺好看的,1,款式,好看
156,尺码正合适,0,尺码,正合适
157,尺码很准确,0,尺码,准确
158,老板推荐的尺寸也刚好合适,1,老板推荐的尺寸,合适
159,尺码也可以,1,尺码,可以
160,材质特性棉的,1,材质,棉
161,朋友需要会介绍过来的T恤质量好,1,T恤质量,好
162,几个颜色搭配非常好,1,颜色搭配,好
163,性价比高宝贝本来是抱着试试看的心里买的,1,性价比,高
164,外观设计蛮好的,0,外观设计,好
165,衣服面料摸起来舒服,0,衣服面料,舒服
166,衣服收到了夏天穿透气,0,衣服,透气
167,主要这个价位的衣服很划算了还那么好看,0,价位,划算
168,布料质量蛮好的,1,布料质量,好
169,样式真的很不错,1,样式,不错
170,薄度刚刚好,0,薄度,好
171,🔪东西很好,0,东西,好
172,🎤面料也很棒,0,面料,棒
173,图案不🎤花哨,0,图案,花哨
174,做工精细走线流畅,1,做工,精细
175,T恤质量还不错,1,T恤质量,不错
176,很合身价格实惠,1,价格,便宜
177,短袖面料很舒服,1,短袖面料,舒服
178,良心的产品,1,产品,良心
179,整体穿上感觉还不错,0,整体,不错
180,而且做工精细,1,做工,精细
181,衣服颜色都非常漂亮,1,衣服颜色,漂亮
182,价钱也很实惠,1,价钱,实惠
183,尺码标准很合身,0,尺码,标准
184,穿起来大方得体,0,设计,大方得体
185,老公穿上很显年经,0,设计,显年轻
186,料子非常柔软呀,0,料子,柔软
187,嘻嘻衣服颜色也是比较显皮肤,1,衣服颜色,显皮肤
188,搭黑色裤子都很好看,1,黑色裤子,好看
189,细节很到位,1,细节,到位
190,颜色正好是我喜欢的,1,颜色,喜欢
191,服务也很到位,0,服务,到位
192,衣服质量还是不错滴,0,衣服质量,不错
193,衣服质量真的不错👍👍,0,衣服质量,不错
194,做工质量没问题,0,做工质量,没问题
195,白色的好透,0,白色,好透
196,太划算了 质量也挺好的,1,质量,好
197,面料特别好,1,面料,好
198,衣服超级喜欢,1,衣服,喜欢
199,上身很显瘦,0,上身,显瘦
200,料子摸起来很是舒服,1,料子,舒服
201,T恤真的很好,1,T恤,好
