,评论,断句,方面词,情感词
0,面料嘛也挺舒服的 就是万恶的发货员发错货了,0,面料,舒服
1,衣服手感很好,0,衣服手感,好
2,尺码标准穿上很合身,0,尺码,标准
3,质量挺好了,0,质量,好
4,短袖样式不错,1,短袖样式,不错
5,短袖触感比较好,1,短袖触感,好
6,颜色特喜欢,1,颜色,喜欢
7,厚薄度：刚刚好,1,厚薄度,刚刚好
8,上身效果：上身很有型,0,上身,有型
9,衣服做工精细,0,衣服做工,精细
10,穿着还合适,0,尺码,合适
11,衣服不错⚾,1,衣服,不错
12,尺寸也很合适相当的不错,1,尺寸,合适
13,短袖面料柔软,0,短袖面料,柔软
14,大小也非常的合适,0,大小,合适
15,面料品质：面料材质柔软,1,面料材质,柔软
16,车工非常精致,1,车工,精致
17,衣型比较修身,1,衣型,修身
18,真真是价廉物美的衣衣,1,衣衣,物美价廉
19,优良的品质,1,品质,优良
20,料子好像是纯棉的,1,料子,纯棉
21,质量信得过,1,质量,信得过
22,质量真的没得说,1,质量,没得说
23,这价格能买到这样的衣服也不错,1,价格,不错
24,颜色款式都喜欢,1,颜色款式,喜欢
25,衣服上身效果很帅气,1,衣服上身效果,帅气
26,纯棉面料穿着舒服,1,纯棉面料,舒服
27,面料摸起来也不是那种硬邦邦的,1,面料,硬邦邦的
28,款式也挺喜欢,1,款式,喜欢
29,性价比比较高,1,性价比,高
30,速干面料而且微弹,1,速干面料,微弹
31,t恤款式很漂亮,0,t恤款式,漂亮
32,款式不错我喜欢的,0,款式,不错
33,款式新颖给力,0,款式,新颖给力
34,面料也还不错,0,面料,不错
35,衣服穿着合适,0,衣服,合适
36,袖质量不错,1,质量,不错
37,颜色也好看的,1,颜色,好看
38,款式很喜欢,1,款式,喜欢
39,但收到货后质量居然还不错,0,质量,不错
40,面料摸着很舒服,0,面料,舒服
41,穿起来很是正式的感觉 尺码推荐：尺寸刚好,1,尺寸推荐,刚好
42,穿起来很板正 厚薄度：厚度刚好,1,厚度,刚好
43,面料手感舒适[惊讶],1,面料手感,舒适
44,穿上之后还不错挺舒服的,1,衣服,不错
45,舒适 厚薄度：好[强],0,厚薄度,好
46,质量摸起来很舒服,0,质量,舒服
47,整体体验：衬衫布料可以,0,衬衫布料,可以
48,品质质量：非常不错的一款衣服,0,品质质量,不错
49,价格有点小贵,0,价格,小贵
50,但是质量很好对得起这个价格,1,质量,好
51,衣服的面料有弹性,1,衣服面料,有弹性
52,透气性也不错很舒服,1,透气性,不错
53,图案也很清晰,1,图案,清晰
54,衣服质量还可以呦,0,衣服质量,可以
55,上身效果也棒棒哒,0,上身效果,棒棒哒
56,走线也很整齐,1,走线,整齐
57,材质摸起来不错,0,材质,不错
58, 做工也是不错的,0,做工,不错
59,价格真的是很划算的,0,价格,划算
60,版型规范衬衫挺不错的,0,版型,规范
61,T恤简直是百搭款呢,0,T恤,百搭
62,体恤面料舒适,0,T恤面料,舒适
63,衣服一般吧的,0,衣服,一般
64,[玫瑰]版型上档次,0,版型,上档次
65,耐穿的面料,0,面料,耐穿
66,质量都不错,0,质量,不错
67,面料还可以的,0,面料,可以
68,t恤面料很好,1,T恤面料,好
69,款式很时尚,1,款式,时尚
70,质量摸起来也很舒服,0,质量,舒服
71,[强]细节做的不错,0,细节,不错
72,弹性都非常好[玫瑰],1,弹性,好
73,上身效果：修身,0,上身效果,修身
74,穿上舒服细节处理的很完美,0,细节处理,完美
75,这家衣服性价比超高,1,衣服性价比,高
76,价格非☀常实惠,1,价格,实惠
77,质量各方面都不错,0,质量,不错
78,衣服版型好,0,衣服版型,好
79,纯棉的穿着舒服,0,纯棉,舒服
80,版型非常好看又简单,0,版型,好看
81,白色衣服还好,1,白色,好
82,黑色就差太多了,1,黑色,差太多
83,衣服挺薄的,0,衣服,挺薄的
84,布料✨非常不错,0,布料,不错
85,🌟扣眼针脚细密,0,针脚,细密
86,宝贝质量很好的,0,宝贝质量,好
87,衣服属于宽松的,1,衣服,宽松
88,物流也蛮快的,1,物流,蛮快
89,款式百搭[激动],1,款式,百搭
90,面料品质：面料可以[强],1,面料,可以
91,面料品质：挺柔软的,1,面料,柔软
92,[鸡]手感很好,1,手感,好
93,面科也不错,1,面科,不错
94,颜色也不好,1,颜色,不好
95,面料不粘毛,1,面料,不粘毛
96,是纯棉材质的,0,纯棉,材质
97,款式做工都非常好,0,款式做工,好
98,穿上尺码大小合适,1,尺码大小,合适
99,上身效果超级好看,1,上身效果,好看
100,不错推荐下质量很不错,0,质量,不错
101,图案也大气,1,图案,大气
102,衣服面料很柔软,1,衣服面料,柔软
103,穿上面料很舒服,1,面料,舒服
104,T恤穿着很舒服,0,T恤,舒服
105,面料透气性很好,0,面料透气性,好
106,面料做工精细,0,面料做工,舒服
107,图案也是喜欢的,0,图案,喜欢
108,号码尺寸也正好,0,号码尺寸,正好
109,针脚非常均匀,0,针脚,均匀
110,做工很好的嘻嘻,1,做工,好
111,布料质量还不错,1,布料质量,不错
112,版型属于宽松的,0,版型,宽松
113,图案设计也挺有风格的,0,图案设计,有风格
114,面料透气性好穿着好,1,面料透气性,好
115,面料非常的好,1,面料,好
116,性价比很高的,1,性价比,高
117,料子摸起来很舒服,1,料子,舒服
118,半袖面料舒服,0,半袖面料,舒服
119,这个价钱又很划算,0,价钱,划算
120,这个价位能买到这么好的衣服,1,价位,好
121,尺码标准码很合适 物有所值,1,尺码,标准
122,裤比较有弹性,0,裤,有弹性
123,衣服冰冰凉凉的很舒服,0,衣服,舒服
124,这件T恤款式好看,0,T恤款式,好看
125,这个价格买到也划算,0,价格,划算
126,面料也舒服透气,0,面料,舒服透气
127,这个尺码刚好合适,1,尺码,合适
128,这款短袖的抗皱性很好,1,抗皱性,好
129, 材质特性：有弹性,1,材质,有弹性
130,我买大一码穿身上正好,1,材质,正好
131,手感也很好,0,手感,好
132, 面料品质：柔软舒适的面料,0,面料,柔软舒适
133,面料手感舒适,0,面料手感,舒适
134,可以的整体不错,0,整体,不错
135,我试了下大小合适,1,大小,合适
136,衣服码数很合适,1,衣服码数,合适
137,非常不错的一款衣服,1,衣服,不错
138,面料看上去就是比较好的那种🐔,0,面料,好
139,衣服洗过后不起球,0,衣服,不起球
140,衣服质量太差了,0,衣服质量,太差
141,衣服版型都不错,0,衣服版型,不错
142,🌹质量和做工也不错,0,质量做工,不错
143,发货速度：非常及时,1,发货,及时
144,短袖质量还行,1,短袖质量,还行
145,衣服质感也非常的不错噢,1,衣服质感,不错
146,版型规范挺不错的,1,版型,规范
147,摸上去的面料也是十分舒适🌹,0,面料,舒适
148,穿在身上合适做工精细,0,做工,精细
149,🌴跑线工整面料质感超级柔软,0,面料质感,柔软
150,黑色的不好看,0,黑色的,不好看
151,好好好好好面料还可以,0,面料,还可以
152,细节做的不错,0,细节,不错
153,浅色干净利落,0,浅色,赶紧利落
154,推荐的尺寸1非常合适,0,尺寸,合适
155,颜色也挺正的,0,颜色,挺正的
156,衣服码数合适,0,衣服码数,合适
157,料子摸上去非常舒服,0,料子,舒服
158,👉包装也很精美,0,线头,很显
159,反正价钱公道,1,价钱,公道
160,手感觉还不错,1,手感,不错
161,料子手感不错,1,料子手感,不错
162,码数按平时穿的买刚合适,1,码数,合适
163,料子也很柔软,1,料子,柔软
164,这个颜色很好搭配裤子的,0,颜色,好
165,商品外观挺好看的,1,商品外观,好看
166,质量做工比我想象中还要好,1,质量做工,好
167,质量也还好&hellip;&hellip;,0,质量,好
168,最主要的是价格实惠,0,价格,便宜
169,质量很好价格实惠,0,质量,好
170,真没有想到这个价位能买到这么好质量的,1,价位,好
171,宝贝收到了不错哦,1,宝贝,不错
172,颜色也挺好看的是我喜欢的,1,颜色,好看
173,这个价买到的真是相当不错了,1,价位,不错
174,短袖面料穿上不错,1,短袖面料,不错
175, 整体评价：手感好,1,手感,好
176,非常满意 面料品质：面料舒适,0,面料,舒适
177,有点起球衣服质量真的不错,0,衣服质量,不错
178, 面料品质：面料比较细腻,1,面料,细腻
179,做工比较精致,1,做工,精致
180,衣服料子蛮可以,1,衣服料子,可以
181,上身效果也满意,0,上身效果,好
182,适合这个季节穿性价比高,0,性价比,高
183,摸上去很柔软,0,面料,柔软
184, 面料很上档次,0,面料,上档次
185,宝贝穿上很大气,0,宝贝,大气
186,料子质量很舒服,0,料子质量,舒服
187,码也很合适呢,0,尺码,合适
188,穿着舒服 ,1,面料,舒服
189,衣服款式修闲大方,0,衣服款式,休闲大方
190,料子特别好,0,料子,好
191,t恤质量很好,0,t恤质量,好
192,很不错的T恤,0,T恤,不错
193,款式还挺好看的,0,款式,好看
194,是我喜欢的类型,0,类型,喜欢
195,超值衣服质量很好,0,衣服质量,好
196,不错的衣服,0,衣服,不错
197,后来想想还是黄色亮肤色,1,黄色,亮肤色
198,摸起来很舒服很柔软,1,面料,舒服
199,夏天穿着正好,1,材质,正好
200,原来质量这么好🐔,1,质量,好
